"x","y","species_set","species","model_predictors","plot_predictor"
33.0088141025641,0.0649038461538462,"Top Ten","Fraxinus americana","BLDG_AGE","BLDG_AGE"
35,0.0442007311399136,"Top Ten","Fraxinus americana","BLDG_AGE","BLDG_AGE"
37,0.0379377431906615,"Top Ten","Fraxinus americana","BLDG_AGE","BLDG_AGE"
38.0212014134276,0.0574204946996466,"Top Ten","Fraxinus americana","BLDG_AGE","BLDG_AGE"
40.6316251830161,0.0407027818448023,"Top Ten","Fraxinus americana","BLDG_AGE","BLDG_AGE"
42.0716510903427,0.0448251990308065,"Top Ten","Fraxinus americana","BLDG_AGE","BLDG_AGE"
46.9052197802198,0.0304945054945055,"Top Ten","Fraxinus americana","BLDG_AGE","BLDG_AGE"
52,0.0279365079365079,"Top Ten","Fraxinus americana","BLDG_AGE","BLDG_AGE"
53.5718194254446,0.0337437300501596,"Top Ten","Fraxinus americana","BLDG_AGE","BLDG_AGE"
14.2213930348259,0.0534825870646766,"Top Ten","Acer freemanii","BLDG_AGE","BLDG_AGE"
20.4730974309258,0.0942801745031508,"Top Ten","Acer freemanii","BLDG_AGE","BLDG_AGE"
22.2652081109925,0.0552294557097118,"Top Ten","Acer freemanii","BLDG_AGE","BLDG_AGE"
25.5978905735003,0.0932762030323006,"Top Ten","Acer freemanii","BLDG_AGE","BLDG_AGE"
28,0.0459536396909313,"Top Ten","Acer freemanii","BLDG_AGE","BLDG_AGE"
29.3915317139001,0.0981781376518219,"Top Ten","Acer freemanii","BLDG_AGE","BLDG_AGE"
31,0.10586011342155,"Top Ten","Acer freemanii","BLDG_AGE","BLDG_AGE"
32,0.0886640880690271,"Top Ten","Acer freemanii","BLDG_AGE","BLDG_AGE"
33.0088141025641,0.0371260683760684,"Top Ten","Acer freemanii","BLDG_AGE","BLDG_AGE"
35,0.0422067131937521,"Top Ten","Acer freemanii","BLDG_AGE","BLDG_AGE"
37,0.0207522697795071,"Top Ten","Acer freemanii","BLDG_AGE","BLDG_AGE"
38.0212014134276,0.0114840989399293,"Top Ten","Acer freemanii","BLDG_AGE","BLDG_AGE"
40.6316251830161,0.0541727672035139,"Top Ten","Acer freemanii","BLDG_AGE","BLDG_AGE"
42.0716510903427,0.0598823122187608,"Top Ten","Acer freemanii","BLDG_AGE","BLDG_AGE"
46.9052197802198,0.043956043956044,"Top Ten","Acer freemanii","BLDG_AGE","BLDG_AGE"
52,0.0222222222222222,"Top Ten","Acer freemanii","BLDG_AGE","BLDG_AGE"
53.5718194254446,0.00797993616051072,"Top Ten","Acer freemanii","BLDG_AGE","BLDG_AGE"
14.2213930348259,0.0945273631840796,"Top Ten","Acer rubrum","BLDG_AGE","BLDG_AGE"
20.4730974309258,0.0756180319922443,"Top Ten","Acer rubrum","BLDG_AGE","BLDG_AGE"
22.2652081109925,0.0795090715048026,"Top Ten","Acer rubrum","BLDG_AGE","BLDG_AGE"
25.5978905735003,0.0827290705339486,"Top Ten","Acer rubrum","BLDG_AGE","BLDG_AGE"
28,0.0183001220008133,"Top Ten","Acer rubrum","BLDG_AGE","BLDG_AGE"
29.3915317139001,0.0553306342780027,"Top Ten","Acer rubrum","BLDG_AGE","BLDG_AGE"
31,0.0661625708884688,"Top Ten","Acer rubrum","BLDG_AGE","BLDG_AGE"
32,0.0586135078845582,"Top Ten","Acer rubrum","BLDG_AGE","BLDG_AGE"
33.0088141025641,0.0534188034188034,"Top Ten","Acer rubrum","BLDG_AGE","BLDG_AGE"
35,0.0465270854104354,"Top Ten","Acer rubrum","BLDG_AGE","BLDG_AGE"
37,0.00875486381322957,"Top Ten","Acer rubrum","BLDG_AGE","BLDG_AGE"
38.0212014134276,0.0123674911660777,"Top Ten","Acer rubrum","BLDG_AGE","BLDG_AGE"
40.6316251830161,0.0371888726207906,"Top Ten","Acer rubrum","BLDG_AGE","BLDG_AGE"
42.0716510903427,0.0444790584977501,"Top Ten","Acer rubrum","BLDG_AGE","BLDG_AGE"
46.9052197802198,0.0321428571428571,"Top Ten","Acer rubrum","BLDG_AGE","BLDG_AGE"
52,0.0107936507936508,"Top Ten","Acer rubrum","BLDG_AGE","BLDG_AGE"
53.5718194254446,0.0355677154582763,"Top Ten","Acer rubrum","BLDG_AGE","BLDG_AGE"
14.2213930348259,0.114427860696517,"Top Ten","Gleditsia triacanthos","BLDG_AGE","BLDG_AGE"
20.4730974309258,0.103005332040717,"Top Ten","Gleditsia triacanthos","BLDG_AGE","BLDG_AGE"
22.2652081109925,0.114727854855923,"Top Ten","Gleditsia triacanthos","BLDG_AGE","BLDG_AGE"
25.5978905735003,0.101186552406065,"Top Ten","Gleditsia triacanthos","BLDG_AGE","BLDG_AGE"
28,0.154127694184628,"Top Ten","Gleditsia triacanthos","BLDG_AGE","BLDG_AGE"
29.3915317139001,0.0973346828609987,"Top Ten","Gleditsia triacanthos","BLDG_AGE","BLDG_AGE"
31,0.0995589161940769,"Top Ten","Gleditsia triacanthos","BLDG_AGE","BLDG_AGE"
32,0.126747991669146,"Top Ten","Gleditsia triacanthos","BLDG_AGE","BLDG_AGE"
33.0088141025641,0.105769230769231,"Top Ten","Gleditsia triacanthos","BLDG_AGE","BLDG_AGE"
35,0.154204054503157,"Top Ten","Gleditsia triacanthos","BLDG_AGE","BLDG_AGE"
37,0.118677042801556,"Top Ten","Gleditsia triacanthos","BLDG_AGE","BLDG_AGE"
38.0212014134276,0.133833922261484,"Top Ten","Gleditsia triacanthos","BLDG_AGE","BLDG_AGE"
40.6316251830161,0.123572474377745,"Top Ten","Gleditsia triacanthos","BLDG_AGE","BLDG_AGE"
42.0716510903427,0.100034614053306,"Top Ten","Gleditsia triacanthos","BLDG_AGE","BLDG_AGE"
46.9052197802198,0.126098901098901,"Top Ten","Gleditsia triacanthos","BLDG_AGE","BLDG_AGE"
52,0.124444444444444,"Top Ten","Gleditsia triacanthos","BLDG_AGE","BLDG_AGE"
53.5718194254446,0.102827177382581,"Top Ten","Gleditsia triacanthos","BLDG_AGE","BLDG_AGE"
14.2213930348259,0.00621890547263682,"Top Ten","Tilia americana","BLDG_AGE","BLDG_AGE"
20.4730974309258,0.00945225399903054,"Top Ten","Tilia americana","BLDG_AGE","BLDG_AGE"
22.2652081109925,0.0080042689434365,"Top Ten","Tilia americana","BLDG_AGE","BLDG_AGE"
25.5978905735003,0.01977587343441,"Top Ten","Tilia americana","BLDG_AGE","BLDG_AGE"
28,0.0459536396909313,"Top Ten","Tilia americana","BLDG_AGE","BLDG_AGE"
29.3915317139001,0.0124831309041835,"Top Ten","Tilia americana","BLDG_AGE","BLDG_AGE"
31,0.017643352236925,"Top Ten","Tilia americana","BLDG_AGE","BLDG_AGE"
32,0.0130913418625409,"Top Ten","Tilia americana","BLDG_AGE","BLDG_AGE"
33.0088141025641,0.0371260683760684,"Top Ten","Tilia americana","BLDG_AGE","BLDG_AGE"
35,0.0272515785975407,"Top Ten","Tilia americana","BLDG_AGE","BLDG_AGE"
37,0.069390402075227,"Top Ten","Tilia americana","BLDG_AGE","BLDG_AGE"
38.0212014134276,0.0397526501766784,"Top Ten","Tilia americana","BLDG_AGE","BLDG_AGE"
40.6316251830161,0.0266471449487555,"Top Ten","Tilia americana","BLDG_AGE","BLDG_AGE"
42.0716510903427,0.0228452751817238,"Top Ten","Tilia americana","BLDG_AGE","BLDG_AGE"
46.9052197802198,0.0461538461538462,"Top Ten","Tilia americana","BLDG_AGE","BLDG_AGE"
52,0.0412698412698413,"Top Ten","Tilia americana","BLDG_AGE","BLDG_AGE"
53.5718194254446,0.023483812129503,"Top Ten","Tilia americana","BLDG_AGE","BLDG_AGE"
14.2213930348259,0.0460199004975124,"Top Ten","Pyrus calleryana","BLDG_AGE","BLDG_AGE"
20.4730974309258,0.0833737275811924,"Top Ten","Pyrus calleryana","BLDG_AGE","BLDG_AGE"
22.2652081109925,0.0584311632870864,"Top Ten","Pyrus calleryana","BLDG_AGE","BLDG_AGE"
25.5978905735003,0.0652603823335531,"Top Ten","Pyrus calleryana","BLDG_AGE","BLDG_AGE"
28,0.0276535176901179,"Top Ten","Pyrus calleryana","BLDG_AGE","BLDG_AGE"
29.3915317139001,0.0765856950067476,"Top Ten","Pyrus calleryana","BLDG_AGE","BLDG_AGE"
31,0.0812854442344045,"Top Ten","Pyrus calleryana","BLDG_AGE","BLDG_AGE"
32,0.0708122582564713,"Top Ten","Pyrus calleryana","BLDG_AGE","BLDG_AGE"
33.0088141025641,0.0344551282051282,"Top Ten","Pyrus calleryana","BLDG_AGE","BLDG_AGE"
35,0.0235958790295779,"Top Ten","Pyrus calleryana","BLDG_AGE","BLDG_AGE"
37,0.00259403372243839,"Top Ten","Pyrus calleryana","BLDG_AGE","BLDG_AGE"
38.0212014134276,0.00485865724381625,"Top Ten","Pyrus calleryana","BLDG_AGE","BLDG_AGE"
40.6316251830161,0.0342606149341142,"Top Ten","Pyrus calleryana","BLDG_AGE","BLDG_AGE"
42.0716510903427,0.0451713395638629,"Top Ten","Pyrus calleryana","BLDG_AGE","BLDG_AGE"
46.9052197802198,0.0211538461538462,"Top Ten","Pyrus calleryana","BLDG_AGE","BLDG_AGE"
52,0,"Top Ten","Pyrus calleryana","BLDG_AGE","BLDG_AGE"
53.5718194254446,0.010031919744642,"Top Ten","Pyrus calleryana","BLDG_AGE","BLDG_AGE"
14.2213930348259,0.0335820895522388,"Top Ten","Tilia cordata","BLDG_AGE","BLDG_AGE"
20.4730974309258,0.0344158991759573,"Top Ten","Tilia cordata","BLDG_AGE","BLDG_AGE"
22.2652081109925,0.0330843116328709,"Top Ten","Tilia cordata","BLDG_AGE","BLDG_AGE"
25.5978905735003,0.047462096242584,"Top Ten","Tilia cordata","BLDG_AGE","BLDG_AGE"
28,0.0455469703131354,"Top Ten","Tilia cordata","BLDG_AGE","BLDG_AGE"
29.3915317139001,0.0401484480431849,"Top Ten","Tilia cordata","BLDG_AGE","BLDG_AGE"
31,0.0434782608695652,"Top Ten","Tilia cordata","BLDG_AGE","BLDG_AGE"
32,0.0473073490032728,"Top Ten","Tilia cordata","BLDG_AGE","BLDG_AGE"
33.0088141025641,0.0510149572649573,"Top Ten","Tilia cordata","BLDG_AGE","BLDG_AGE"
35,0.02625456962446,"Top Ten","Tilia cordata","BLDG_AGE","BLDG_AGE"
37,0.0505836575875486,"Top Ten","Tilia cordata","BLDG_AGE","BLDG_AGE"
38.0212014134276,0.017226148409894,"Top Ten","Tilia cordata","BLDG_AGE","BLDG_AGE"
40.6316251830161,0.0371888726207906,"Top Ten","Tilia cordata","BLDG_AGE","BLDG_AGE"
42.0716510903427,0.0346140533056421,"Top Ten","Tilia cordata","BLDG_AGE","BLDG_AGE"
46.9052197802198,0.0453296703296703,"Top Ten","Tilia cordata","BLDG_AGE","BLDG_AGE"
52,0.0292063492063492,"Top Ten","Tilia cordata","BLDG_AGE","BLDG_AGE"
53.5718194254446,0.0449156406748746,"Top Ten","Tilia cordata","BLDG_AGE","BLDG_AGE"
1.74295630076397,0.16767189384801,"Top Ten","Fraxinus pennsylvanica","HU_DENS","HU_DENS"
2.38203746582933,0.0993719985223495,"Top Ten","Fraxinus pennsylvanica","HU_DENS","HU_DENS"
2.7434964338378,0.188203337213815,"Top Ten","Fraxinus pennsylvanica","HU_DENS","HU_DENS"
3.46810305374001,0.164851125635439,"Top Ten","Fraxinus pennsylvanica","HU_DENS","HU_DENS"
4.32032571081409,0.135115431348724,"Top Ten","Fraxinus pennsylvanica","HU_DENS","HU_DENS"
4.82479826428946,0.0991085474567383,"Top Ten","Fraxinus pennsylvanica","HU_DENS","HU_DENS"
4.96342723543888,0.0902378999179655,"Top Ten","Fraxinus pennsylvanica","HU_DENS","HU_DENS"
5.43515519497687,0.150693985459352,"Top Ten","Fraxinus pennsylvanica","HU_DENS","HU_DENS"
5.66056378199052,0.144707740916272,"Top Ten","Fraxinus pennsylvanica","HU_DENS","HU_DENS"
5.78802,0.0521831735889244,"Top Ten","Fraxinus pennsylvanica","HU_DENS","HU_DENS"
5.95733326017263,0.116152897657213,"Top Ten","Fraxinus pennsylvanica","HU_DENS","HU_DENS"
6.33602353932584,0.180126404494382,"Top Ten","Fraxinus pennsylvanica","HU_DENS","HU_DENS"
6.83247809557775,0.14586305278174,"Top Ten","Fraxinus pennsylvanica","HU_DENS","HU_DENS"
7.34390064935065,0.10899814471243,"Top Ten","Fraxinus pennsylvanica","HU_DENS","HU_DENS"
7.62083722034778,0.157280041526084,"Top Ten","Fraxinus pennsylvanica","HU_DENS","HU_DENS"
7.92826841222031,0.110585197934596,"Top Ten","Fraxinus pennsylvanica","HU_DENS","HU_DENS"
8.20232989221234,0.178927512799784,"Top Ten","Fraxinus pennsylvanica","HU_DENS","HU_DENS"
8.52997476783692,0.149867874669687,"Top Ten","Fraxinus pennsylvanica","HU_DENS","HU_DENS"
11.2261889874579,0.131232792903028,"Top Ten","Fraxinus pennsylvanica","HU_DENS","HU_DENS"
1.74295630076397,0.0643345396059509,"Top Ten","Acer saccharinum","HU_DENS","HU_DENS"
2.38203746582933,0.0672330993719985,"Top Ten","Acer saccharinum","HU_DENS","HU_DENS"
2.7434964338378,0.0481179666278619,"Top Ten","Acer saccharinum","HU_DENS","HU_DENS"
3.46810305374001,0.0631808278867102,"Top Ten","Acer saccharinum","HU_DENS","HU_DENS"
4.32032571081409,0.0639125151883354,"Top Ten","Acer saccharinum","HU_DENS","HU_DENS"
4.82479826428946,0.0828526481384373,"Top Ten","Acer saccharinum","HU_DENS","HU_DENS"
4.96342723543888,0.222313371616079,"Top Ten","Acer saccharinum","HU_DENS","HU_DENS"
5.43515519497687,0.0575016523463318,"Top Ten","Acer saccharinum","HU_DENS","HU_DENS"
5.66056378199052,0.0947867298578199,"Top Ten","Acer saccharinum","HU_DENS","HU_DENS"
5.78802,0.116613418530351,"Top Ten","Acer saccharinum","HU_DENS","HU_DENS"
5.95733326017263,0.0705302096177559,"Top Ten","Acer saccharinum","HU_DENS","HU_DENS"
6.33602353932584,0.0951544943820225,"Top Ten","Acer saccharinum","HU_DENS","HU_DENS"
6.83247809557775,0.0278174037089872,"Top Ten","Acer saccharinum","HU_DENS","HU_DENS"
7.34390064935065,0.0343228200371058,"Top Ten","Acer saccharinum","HU_DENS","HU_DENS"
7.62083722034778,0.0892810796781729,"Top Ten","Acer saccharinum","HU_DENS","HU_DENS"
7.92826841222031,0.0770223752151463,"Top Ten","Acer saccharinum","HU_DENS","HU_DENS"
8.20232989221234,0.0396119644300728,"Top Ten","Acer saccharinum","HU_DENS","HU_DENS"
8.52997476783692,0.214043035107588,"Top Ten","Acer saccharinum","HU_DENS","HU_DENS"
11.2261889874579,0.0572040379320893,"Top Ten","Acer saccharinum","HU_DENS","HU_DENS"
1.74295630076397,0.0699638118214717,"Top Ten","Acer platanoides","HU_DENS","HU_DENS"
2.38203746582933,0.0642777983007019,"Top Ten","Acer platanoides","HU_DENS","HU_DENS"
2.7434964338378,0.0593713620488941,"Top Ten","Acer platanoides","HU_DENS","HU_DENS"
3.46810305374001,0.0838779956427015,"Top Ten","Acer platanoides","HU_DENS","HU_DENS"
4.32032571081409,0.0794653705953828,"Top Ten","Acer platanoides","HU_DENS","HU_DENS"
4.82479826428946,0.065023597273204,"Top Ten","Acer platanoides","HU_DENS","HU_DENS"
4.96342723543888,0.0642603226688543,"Top Ten","Acer platanoides","HU_DENS","HU_DENS"
5.43515519497687,0.0657633840052875,"Top Ten","Acer platanoides","HU_DENS","HU_DENS"
5.66056378199052,0.0635071090047393,"Top Ten","Acer platanoides","HU_DENS","HU_DENS"
5.78802,0.102768903088392,"Top Ten","Acer platanoides","HU_DENS","HU_DENS"
5.95733326017263,0.0757090012330456,"Top Ten","Acer platanoides","HU_DENS","HU_DENS"
6.33602353932584,0.0695224719101124,"Top Ten","Acer platanoides","HU_DENS","HU_DENS"
6.83247809557775,0.0752496433666191,"Top Ten","Acer platanoides","HU_DENS","HU_DENS"
7.34390064935065,0.0695732838589982,"Top Ten","Acer platanoides","HU_DENS","HU_DENS"
7.62083722034778,0.110044121463794,"Top Ten","Acer platanoides","HU_DENS","HU_DENS"
7.92826841222031,0.159638554216867,"Top Ten","Acer platanoides","HU_DENS","HU_DENS"
8.20232989221234,0.0789544597143627,"Top Ten","Acer platanoides","HU_DENS","HU_DENS"
8.52997476783692,0.137032842582106,"Top Ten","Acer platanoides","HU_DENS","HU_DENS"
11.2261889874579,0.109207708779443,"Top Ten","Acer platanoides","HU_DENS","HU_DENS"
1.74295630076397,0.203860072376357,"Top Ten","Other","HU_DENS","HU_DENS"
2.38203746582933,0.389360916143332,"Top Ten","Other","HU_DENS","HU_DENS"
2.7434964338378,0.338377958866899,"Top Ten","Other","HU_DENS","HU_DENS"
3.46810305374001,0.24800290486565,"Top Ten","Other","HU_DENS","HU_DENS"
4.32032571081409,0.303280680437424,"Top Ten","Other","HU_DENS","HU_DENS"
4.82479826428946,0.317252228631358,"Top Ten","Other","HU_DENS","HU_DENS"
4.96342723543888,0.298878862455565,"Top Ten","Other","HU_DENS","HU_DENS"
5.43515519497687,0.341044282881692,"Top Ten","Other","HU_DENS","HU_DENS"
5.66056378199052,0.238862559241706,"Top Ten","Other","HU_DENS","HU_DENS"
5.78802,0.464323748668797,"Top Ten","Other","HU_DENS","HU_DENS"
5.95733326017263,0.415536374845869,"Top Ten","Other","HU_DENS","HU_DENS"
6.33602353932584,0.285463483146067,"Top Ten","Other","HU_DENS","HU_DENS"
6.83247809557775,0.32132667617689,"Top Ten","Other","HU_DENS","HU_DENS"
7.34390064935065,0.301948051948052,"Top Ten","Other","HU_DENS","HU_DENS"
7.62083722034778,0.310667012717363,"Top Ten","Other","HU_DENS","HU_DENS"
7.92826841222031,0.306368330464716,"Top Ten","Other","HU_DENS","HU_DENS"
8.20232989221234,0.329560765292374,"Top Ten","Other","HU_DENS","HU_DENS"
8.52997476783692,0.238958097395243,"Top Ten","Other","HU_DENS","HU_DENS"
11.2261889874579,0.312633832976445,"Top Ten","Other","HU_DENS","HU_DENS"
1.74295630076397,0.0615199034981906,"Top Ten","Fraxinus americana","HU_DENS","HU_DENS"
2.38203746582933,0.0639083856667898,"Top Ten","Fraxinus americana","HU_DENS","HU_DENS"
2.7434964338378,0.036476523088863,"Top Ten","Fraxinus americana","HU_DENS","HU_DENS"
3.46810305374001,0.0577342047930283,"Top Ten","Fraxinus americana","HU_DENS","HU_DENS"
4.32032571081409,0.0622114216281896,"Top Ten","Fraxinus americana","HU_DENS","HU_DENS"
4.82479826428946,0.0566334556895648,"Top Ten","Fraxinus americana","HU_DENS","HU_DENS"
4.96342723543888,0.0393765381460213,"Top Ten","Fraxinus americana","HU_DENS","HU_DENS"
5.43515519497687,0.0555188367481824,"Top Ten","Fraxinus americana","HU_DENS","HU_DENS"
5.66056378199052,0.0669826224328594,"Top Ten","Fraxinus americana","HU_DENS","HU_DENS"
5.78802,0.0324813631522897,"Top Ten","Fraxinus americana","HU_DENS","HU_DENS"
5.95733326017263,0.0404438964241677,"Top Ten","Fraxinus americana","HU_DENS","HU_DENS"
6.33602353932584,0.0445926966292135,"Top Ten","Fraxinus americana","HU_DENS","HU_DENS"
6.83247809557775,0.0456490727532097,"Top Ten","Fraxinus americana","HU_DENS","HU_DENS"
7.34390064935065,0.0630797773654917,"Top Ten","Fraxinus americana","HU_DENS","HU_DENS"
7.62083722034778,0.0443810018167662,"Top Ten","Fraxinus americana","HU_DENS","HU_DENS"
7.92826841222031,0.0378657487091222,"Top Ten","Fraxinus americana","HU_DENS","HU_DENS"
8.20232989221234,0.0854217192131501,"Top Ten","Fraxinus americana","HU_DENS","HU_DENS"
8.52997476783692,0.0347300868252171,"Top Ten","Fraxinus americana","HU_DENS","HU_DENS"
11.2261889874579,0.0449678800856531,"Top Ten","Fraxinus americana","HU_DENS","HU_DENS"
1.74295630076397,0.11178126256534,"Top Ten","Acer freemanii","HU_DENS","HU_DENS"
2.38203746582933,0.0690801625415589,"Top Ten","Acer freemanii","HU_DENS","HU_DENS"
2.7434964338378,0.0318199456732635,"Top Ten","Acer freemanii","HU_DENS","HU_DENS"
3.46810305374001,0.0551924473493101,"Top Ten","Acer freemanii","HU_DENS","HU_DENS"
4.32032571081409,0.0702308626974484,"Top Ten","Acer freemanii","HU_DENS","HU_DENS"
4.82479826428946,0.110644992134242,"Top Ten","Acer freemanii","HU_DENS","HU_DENS"
