"genus","family"
"Adenium","Apocynaceae"
"Adenocarpus","Fabaceae"
"Adenocaulon","Asteraceae"
"Adenophorus","Grammitidaceae"
"Adenophyllum","Asteraceae"
"Adenostemma","Asteraceae"
"Adenostoma","Rosaceae"
"Adesmia","Fabaceae"
"Adiantum","Pteridaceae"
"Adlumia","Fumariaceae"
"Adolphia","Rhamnaceae"
"Adonis","Ranunculaceae"
"Adoxa","Adoxaceae"
"Aechmea","Bromeliaceae"
"Aegilops","Poaceae"
"Aeginetia","Orobanchaceae"
"Aegiphila","Verbenaceae"
"Aegle","Rutaceae"
"Aegopodium","Apiaceae"
"Aegopogon","Poaceae"
"Aeluropus","Poaceae"
"Aeonium","Crassulaceae"
"Aerva","Amaranthaceae"
"Aesandra","Sapotaceae"
"Aeschynomene","Fabaceae"
"Aesculus","Hippocastanaceae"
"Aethusa","Apiaceae"
"Aframomum","Zingiberaceae"
"Afrocarpus","Podocarpaceae"
"Afzelia","Fabaceae"
"Agalinis","Scrophulariaceae"
"Agapanthus","Liliaceae"
"Agarista","Ericaceae"
"Agastache","Lamiaceae"
"Agathis","Araucariaceae"
"Agathosma","Rutaceae"
"Agave","Agavaceae"
"Agdestis","Phytolaccaceae"
"Ageratina","Asteraceae"
"Ageratum","Asteraceae"
"Aglaia","Meliaceae"
"Aglaonema","Araceae"
"Agnorhiza","Asteraceae"
"Agonimia","Verrucariaceae"
"Agoseris","Asteraceae"
"Agrestia","Hymeneliaceae"
"Agrimonia","Rosaceae"
"Agropyron","Poaceae"
"Agrostemma","Caryophyllaceae"
"Agrostis","Poaceae"
"Agyrium","Agyriaceae"
"Ahtiana","Parmeliaceae"
"Aidia","Rubiaceae"
"Ailanthus","Simaroubaceae"
"Aiphanes","Arecaceae"
"Aira","Poaceae"
"Ajuga","Lamiaceae"
"Akebia","Lardizabalaceae"
"Albizia","Fabaceae"
"Alcea","Malvaceae"
"Alchemilla","Rosaceae"
"Alchornea","Euphorbiaceae"
"Alchorneopsis","Euphorbiaceae"
"Aldrovanda","Droseraceae"
"Alectoria","Alectoriaceae"
"Alectra","Scrophulariaceae"
"Alectryon","Sapindaceae"
"Aletes","Apiaceae"
"Aletris","Liliaceae"
"Aleurites","Euphorbiaceae"
"Alhagi","Fabaceae"
"Aliciella","Polemoniaceae"
"Alisma","Alismataceae"
"Alkanna","Boraginaceae"
"Allamanda","Apocynaceae"
"Allantoparmelia","Parmeliaceae"
"Allenrolfea","Chenopodiaceae"
"Alliaria","Brassicaceae"
"Allionia","Nyctaginaceae"
"Allium","Liliaceae"
"Allocasuarina","Casuarinaceae"
"Allocetraria","Parmeliaceae"
"Allolepis","Poaceae"
"Allophyllum","Polemoniaceae"
"Allophylus","Sapindaceae"
"Allosidastrum","Malvaceae"
"Alloteropsis","Poaceae"
"Allotropa","Monotropaceae"
"Allowissadula","Malvaceae"
"Almutaster","Asteraceae"
"Alnus","Betulaceae"
"Alocasia","Araceae"
"Aloe","Aloaceae"
"Aloina","Pottiaceae"
"Alopecurus","Poaceae"
"Alophia","Iridaceae"
"Aloysia","Verbenaceae"
"Alphitonia","Rhamnaceae"
"Alpinia","Zingiberaceae"
"Alsia","Leucodontaceae"
"Alsinidendron","Caryophyllaceae"
"Alsophila","Cyatheaceae"
"Alstonia","Apocynaceae"
"Alstroemeria","Liliaceae"
"Alternanthera","Amaranthaceae"
"Althaea","Malvaceae"
"Alvaradoa","Simaroubaceae"
"Alysicarpus","Fabaceae"
"Alyssoides","Brassicaceae"
"Alyssum","Brassicaceae"
"Alyxia","Apocynaceae"
"Amandinea","Physciaceae"
"Amaranthus","Amaranthaceae"
"Amaryllis","Liliaceae"
"Amberboa","Asteraceae"
"Amblyodon","Meesiaceae"
"Amblyolepis","Asteraceae"
"Amblyopappus","Asteraceae"
"Amblyopyrum","Poaceae"
"Amblystegium","Amblystegiaceae"
"Ambrosia","Asteraceae"
"Amelanchier","Rosaceae"
"Amerorchis","Orchidaceae"
"Amianthium","Liliaceae"
"Ammannia","Lythraceae"
"Ammi","Apiaceae"
"Ammocharis","Liliaceae"
"Ammocodon","Nyctaginaceae"
"Ammophila","Poaceae"
"Ammoselinum","Apiaceae"
"Amomum","Zingiberaceae"
"Amoreuxia","Bixaceae"
"Amorpha","Fabaceae"
"Amorphophallus","Araceae"
"Ampelaster","Asteraceae"
"Ampelodesmos","Poaceae"
"Ampelopsis","Vitaceae"
"Amphiachyris","Asteraceae"
"Amphianthus","Scrophulariaceae"
"Amphibromus","Poaceae"
"Amphicarpaea","Fabaceae"
"Amphicarpum","Poaceae"
"Amphidium","Orthotrichaceae"
"Amphilophium","Bignoniaceae"
"Amphipappus","Asteraceae"
"Amphitecna","Bignoniaceae"
"Amsinckia","Boraginaceae"
"Amsonia","Apocynaceae"
"Amygdalaria","Porpidiaceae"
"Amyris","Rutaceae"
"Anacamptodon","Fabroniaceae"
"Anacardium","Anacardiaceae"
"Anacolia","Bartramiaceae"
"Anacyclus","Asteraceae"
"Anadenanthera","Fabaceae"
"Anagallis","Primulaceae"
"Anamylospora","Porpidiaceae"
"Ananas","Bromeliaceae"
"Anaphalis","Asteraceae"
"Anaptychia","Physciaceae"
"Anastrepta","Jungermanniaceae"
"Anastrophyllum","Jungermanniaceae"
"Anchusa","Boraginaceae"
"Ancistrachne","Poaceae"
"Ancistrocactus","Cactaceae"
"Ancistrocarphus","Asteraceae"
"Andira","Fabaceae"
"Andreaea","Andreaeaceae"
"Andreaeobryum","Andreaeobryaceae"
"Andrographis","Acanthaceae"
"Andromeda","Ericaceae"
"Andropogon","Poaceae"
"Androsace","Primulaceae"
"Androstephium","Liliaceae"
"Anechites","Apocynaceae"
"Aneilema","Commelinaceae"
"Anelsonia","Brassicaceae"
"Anema","Lichinaceae"
"Anemia","Anemiaceae"
"Anemone","Ranunculaceae"
"Anemopsis","Saururaceae"
"Anethum","Apiaceae"
"Anetium","Vittariaceae"
"Aneura","Aneuraceae"
"Angadenia","Apocynaceae"
"Angelica","Apiaceae"
"Angelonia","Scrophulariaceae"
"Angiopteris","Marattiaceae"
"Angostura","Rutaceae"
"Aniba","Lauraceae"
"Anisacanthus","Acanthaceae"
"Aniseia","Convolvulaceae"
"Anisocarpus","Asteraceae"
"Anisocoma","Asteraceae"
"Anisodontea","Malvaceae"
"Anisomeridium","Monoblastiaceae"
"Annona","Annonaceae"
"Anoda","Malvaceae"
"Anoectangium","Pottiaceae"
"Anoectochilus","Orchidaceae"
"Anogeissus","Combretaceae"
"Anomobryum","Bryaceae"
"Anomodon","Anomodontaceae"
"Anopteris","Pteridaceae"
"Anredera","Basellaceae"
"Antennaria","Asteraceae"
"Antenoron","Polygonaceae"
"Anthaenantia","Poaceae"
"Anthelia","Antheliaceae"
"Anthemis","Asteraceae"
"Anthephora","Poaceae"
"Antheropeas","Asteraceae"
"Anthoceros","Anthocerotaceae"
"Anthoxanthum","Poaceae"
"Anthracothecium","Pyrenulaceae"
"Anthriscus","Apiaceae"
"Anthurium","Araceae"
"Anthyllis","Fabaceae"
"Antidaphne","Eremolepidaceae"
"Antidesma","Euphorbiaceae"
"Antigonon","Polygonaceae"
"Antiphytum","Boraginaceae"
"Antirhea","Rubiaceae"
"Antirrhinum","Scrophulariaceae"
"Antitrichia","Leucodontaceae"
"Antopetitia","Fabaceae"
"Antrophyum","Vittariaceae"
"Anulocaulis","Nyctaginaceae"
"Anzia","Parmeliaceae"
"Anzina","Trapeliaceae"
"Aongstroemia","Dicranaceae"
"Apacheria","Crossosomataceae"
"Apera","Poaceae"
"Aphanamixis","Meliaceae"
"Aphanes","Rosaceae"
"Aphanisma","Chenopodiaceae"
"Aphanolejeunea","Lejeuneaceae"
"Aphanorrhegma","Funariaceae"
"Aphanostephus","Asteraceae"
"Aphragmus","Brassicaceae"
"Apiastrum","Apiaceae"
"Apios","Fabaceae"
"Apium","Apiaceae"
"Aplectrum","Orchidaceae"
"Aplodon","Splachnaceae"
"Apluda","Poaceae"
"Apocynum","Apocynaceae"
"Apodanthera","Cucurbitaceae"
"Apometzgeria","Metzgeriaceae"
"Aponogeton","Aponogetonaceae"
"Apotreubia","Treubiaceae"
"Aptenia","Aizoaceae"
"Apteria","Burmanniaceae"
"Aquilegia","Ranunculaceae"
"Arabidopsis","Brassicaceae"
"Arabis","Brassicaceae"
"Arachis","Fabaceae"
"Arachniodes","Dryopteridaceae"
"Aralia","Araliaceae"
"Araucaria","Araucariaceae"
"Araujia","Asclepiadaceae"
"Arbutus","Ericaceae"
"Arceuthobium","Viscaceae"
"Archidium","Archidiaceae"
"Archontophoenix","Arecaceae"
"Arctagrostis","Poaceae"
"Arctium","Asteraceae"
"Arctoa","Dicranaceae"
"Arctocetraria","Parmeliaceae"
"Arctomecon","Papaveraceae"
"Arctomia","Arctomiaceae"
"Arctoparmelia","Parmeliaceae"
"Arctopeltis","Lecanoraceae"
"Arctophila","Poaceae"
"Arctostaphylos","Ericaceae"
"Arctotheca","Asteraceae"
"Arctotis","Asteraceae"
"Ardisia","Myrsinaceae"
"Areca","Arecaceae"
"Arecastrum","Arecaceae"
"Arenaria","Caryophyllaceae"
"Arenga","Arecaceae"
"Arethusa","Orchidaceae"
"Argemone","Papaveraceae"
"Argentina","Rosaceae"
"Argusia","Boraginaceae"
"Argyranthemum","Asteraceae"
"Argyreia","Convolvulaceae"
"Argyrochosma","Pteridaceae"
"Argyrolobium","Fabaceae"
"Argyroxiphium","Asteraceae"
"Argythamnia","Euphorbiaceae"
"Ariocarpus","Cactaceae"
"Arisaema","Araceae"
"Aristea","Iridaceae"
"Aristida","Poaceae"
"Aristocapsa","Polygonaceae"
"Aristolochia","Aristolochiaceae"
"Aristotelia","Elaeocarpaceae"
"Armeria","Plumbaginaceae"
"Armoracia","Brassicaceae"
"Arnellia","Arnelliaceae"
"Arnica","Asteraceae"
"Arnoglossum","Asteraceae"
"Arnoseris","Asteraceae"
"Aronia","Rosaceae"
"Arrabidaea","Bignoniaceae"
"Arracacia","Apiaceae"
"Arrhenatherum","Poaceae"
"Artabotrys","Annonaceae"
"Artemisia","Asteraceae"
"Arthonia","Arthoniaceae"
"Arthopyrenia","Arthopyreniaceae"
"Arthothelium","Uncertain Ascomycota Family"
"Arthraxon","Poaceae"
"Arthrocnemum","Chenopodiaceae"
"Arthropodium","Liliaceae"
"Arthrorhaphis","Arthrorhaphidaceae"
"Arthrosporum","Catillariaceae"
"Arthrostemma","Melastomataceae"
"Arthrostylidium","Poaceae"
"Artocarpus","Moraceae"
"Arum","Araceae"
"Aruncus","Rosaceae"
"Arundina","Orchidaceae"
"Arundinaria","Poaceae"
"Arundinella","Poaceae"
"Arundo","Poaceae"
"Asahinea","Parmeliaceae"
"Asanthus","Asteraceae"
"Asarum","Aristolochiaceae"
"Ascarina","Chloranthaceae"
"Aschisma","Pottiaceae"
"Ascidiota","Porellaceae"
"Asclepias","Asclepiadaceae"
"Asimina","Annonaceae"
"Aspalathus","Fabaceae"
"Asparagus","Liliaceae"
"Asperugo","Boraginaceae"
"Asperula","Rubiaceae"
"Asphodelus","Liliaceae"
"Aspicarpa","Malpighiaceae"
"Aspicilia","Hymeneliaceae"
"Aspidotis","Pteridaceae"
"Asplenium","Aspleniaceae"
"Astelia","Liliaceae"
"Aster","Asteraceae"
"Asterella","Aytoniaceae"
"Asterophoma","Mycocaliciaceae"
"Asterothyrium","Thelotremataceae"
"Astilbe","Saxifragaceae"
"Astomum","Pottiaceae"
"Astragalus","Fabaceae"
"Astranthium","Asteraceae"
"Astrantia","Apiaceae"
"Astrebla","Poaceae"
"Astripomoea","Convolvulaceae"
"Astrolepis","Pteridaceae"
"Astronidium","Melastomataceae"
"Astrophytum","Cactaceae"
"Astrothelium","Trypetheliaceae"
"Asyneuma","Campanulaceae"
"Asystasia","Acanthaceae"
"Atamisquea","Capparaceae"
"Athalamia","Cleveaceae"
"Athelia","Atheliaceae"
"Athyrium","Dryopteridaceae"
"Athysanus","Brassicaceae"
"Atrichoseris","Asteraceae"
"Atrichum","Polytrichaceae"
"Atriplex","Chenopodiaceae"
"Atropa","Solanaceae"
"Attalea","Arecaceae"
"Aubrieta","Brassicaceae"
"Aucuba","Cornaceae"
"Auerodendron","Rhamnaceae"
"Aulacomnium","Aulacomniaceae"
"Aulaxina","Gomphillaceae"
"Aureolaria","Scrophulariaceae"
"Aurinia","Brassicaceae"
"Austrocedrus","Cupressaceae"
"Austrostipa","Poaceae"
"Avellinia","Poaceae"
"Avena","Poaceae"
"Avenula","Poaceae"
"Averrhoa","Oxalidaceae"
"Avicennia","Verbenaceae"
"Axonopus","Poaceae"
"Axyris","Chenopodiaceae"
"Ayenia","Sterculiaceae"
"Azadirachta","Meliaceae"
"Azolla","Azollaceae"
"Baccaurea","Euphorbiaceae"
"Baccharis","Asteraceae"
"Bachmanniomyces","Uncertain Ascomycota Family"
"Bacidia","Bacidiaceae"
"Bacidina","Lecanoraceae"
"Bacopa","Scrophulariaceae"
"Bactris","Arecaceae"
"Bactrospora","Opegraphaceae"
"Baeckea","Myrtaceae"
"Baeomyces","Baeomycetaceae"
"Bahia","Asteraceae"
"Baileya","Asteraceae"
"Baillonella","Sapotaceae"
"Balanites","Zygophyllaceae"
"Balanophora","Balanophoraceae"
"Baldellia","Alismataceae"
"Balduina","Asteraceae"
"Ballota","Lamiaceae"
"Balsamorhiza","Asteraceae"
"Baltimora","Asteraceae"
"Bambusa","Poaceae"
"Banara","Flacourtiaceae"
"Banisteriopsis","Malpighiaceae"
"Banksia","Proteaceae"
"Baphia","Fabaceae"
"Baptisia","Fabaceae"
"Barbarea","Brassicaceae"
"Barbella","Meteoriaceae"
"Barbieria","Fabaceae"
"Barbilophozia","Jungermanniaceae"
"Barbula","Pottiaceae"
"Barkleyanthus","Asteraceae"
"Barleria","Acanthaceae"
"Barleriola","Acanthaceae"
"Barringtonia","Lecythidaceae"
"Bartlettia","Asteraceae"
"Bartlettina","Asteraceae"
"Bartonia","Gentianaceae"
"Bartramia","Bartramiaceae"
"Bartramidula","Bartramiaceae"
"Bartramiopsis","Polytrichaceae"
"Bartsia","Scrophulariaceae"
"Basella","Basellaceae"
"Basiphyllaea","Orchidaceae"
"Bassia","Chenopodiaceae"
"Bastardia","Malvaceae"
"Bastardiopsis","Malvaceae"
"Batesimalva","Malvaceae"
"Bathelium","Trypetheliaceae"
"Batis","Bataceae"
"Bauhinia","Fabaceae"
"Bazzania","Lepidoziaceae"
"Beaucarnea","Liliaceae"
"Bebbia","Asteraceae"
"Beckmannia","Poaceae"
"Begonia","Begoniaceae"
"Beilschmiedia","Lauraceae"
"Bejaria","Ericaceae"
"Belamcanda","Iridaceae"
"Bellardia","Scrophulariaceae"
"Bellemerea","Porpidiaceae"
"Bellis","Asteraceae"
"Beloglottis","Orchidaceae"
"Belonia","Gyalectaceae"
"Benincasa","Cucurbitaceae"
"Benitoa","Asteraceae"
"Bensoniella","Saxifragaceae"
"Berberis","Berberidaceae"
"Berchemia","Rhamnaceae"
"Bergenia","Saxifragaceae"
"Bergerocactus","Cactaceae"
"Bergia","Elatinaceae"
"Berkheya","Asteraceae"
"Berlandiera","Asteraceae"
"Bernardia","Euphorbiaceae"
"Berteroa","Brassicaceae"
"Bertholletia","Lecythidaceae"
"Berula","Apiaceae"
"Besseya","Scrophulariaceae"
"Bestia","Brachytheciaceae"
"Beta","Chenopodiaceae"
"Betula","Betulaceae"
"Biatora","Bacidiaceae"
"Biatorella","Biatorellaceae"
"Biatoropsis","Uncertain Basidiomycota Family"
"Bidens","Asteraceae"
"Bifora","Apiaceae"
"Bigelowia","Asteraceae"
"Bignonia","Bignoniaceae"
"Bikkia","Rubiaceae"
"Billbergia","Bromeliaceae"
"Billieturnera","Malvaceae"
"Bischofia","Euphorbiaceae"
"Biserrula","Fabaceae"
"Bituminaria","Fabaceae"
"Bixa","Bixaceae"
"Blasia","Blasiaceae"
"Blechnum","Blechnaceae"
"Blechum","Acanthaceae"
"Blennosperma","Asteraceae"
"Blepharidachne","Poaceae"
"Blepharipappus","Asteraceae"
"Blepharizonia","Asteraceae"
"Blepharoneuron","Poaceae"
"Blepharostoma","Pseudolepicoleaceae"
"Blephilia","Lamiaceae"
"Bletia","Orchidaceae"
"Bletilla","Orchidaceae"
"Blighia","Sapindaceae"
"Blindia","Seligeriaceae"
"Bloomeria","Liliaceae"
"Blumea","Asteraceae"
"Blutaparon","Amaranthaceae"
"Blysmus","Cyperaceae"
"Blyxa","Hydrocharitaceae"
"Bobea","Rubiaceae"
"Bocconia","Papaveraceae"
"Boehmeria","Urticaceae"
"Boerhavia","Nyctaginaceae"
"Boesenbergia","Zingiberaceae"
"Bolandra","Saxifragaceae"
"Bolbitis","Dryopteridaceae"
"Bolboschoenus","Cyperaceae"
"Boltonia","Asteraceae"
"Bomarea","Liliaceae"
"Bombax","Bombacaceae"
"Bombycilaena","Asteraceae"
"Bommeria","Pteridaceae"
"Bonamia","Convolvulaceae"
"Bontia","Myoporaceae"
"Borago","Boraginaceae"
"Borassus","Arecaceae"
"Borinda","Poaceae"
"Boronia","Rutaceae"
"Borrichia","Asteraceae"
"Borzicactus","Cactaceae"
"Boschniakia","Orobanchaceae"
"Boscia","Capparaceae"
"Bossiaea","Fabaceae"
"Boswellia","Burseraceae"
"Bothriochloa","Poaceae"
"Bothriospermum","Boraginaceae"
"Botrychium","Ophioglossaceae"
"Bouchea","Verbenaceae"
"Bouchetia","Solanaceae"
"Bougainvillea","Nyctaginaceae"
"Bourreria","Boraginaceae"
"Bouteloua","Poaceae"
"Bouvardia","Rubiaceae"
"Bowlesia","Apiaceae"
"Boykinia","Saxifragaceae"
"Brachelyma","Fontinalaceae"
"Brachiaria","Poaceae"
"Brachionidium","Orchidaceae"
"Brachyachne","Poaceae"
"Brachychiton","Sterculiaceae"
"Brachydontium","Seligeriaceae"
"Brachyelytrum","Poaceae"
"Brachymenium","Bryaceae"
"Brachypodium","Poaceae"
"Brachystigma","Scrophulariaceae"
"Brachythecium","Brachytheciaceae"
"Bracteantha","Asteraceae"
"Brandegea","Cucurbitaceae"
"Brasenia","Cabombaceae"
"Brasiliopuntia","Cactaceae"
"Brassavola","Orchidaceae"
"Brassia","Orchidaceae"
"Brassica","Brassicaceae"
"Braunia","Hedwigiaceae"
"Braya","Brassicaceae"
"Brazoria","Lamiaceae"
"Breynia","Euphorbiaceae"
"Brickellia","Asteraceae"
"Brickelliastrum","Asteraceae"
"Brigantiaea","Brigantiaceae"
"Brighamia","Campanulaceae"
"Briza","Poaceae"
"Brodiaea","Liliaceae"
"Brodoa","Parmeliaceae"
"Bromelia","Bromeliaceae"
"Bromidium","Poaceae"
"Bromus","Poaceae"
"Brongniartia","Fabaceae"
"Brosimum","Moraceae"
"Brothera","Dicranaceae"
"Brotherella","Sematophyllaceae"
"Broughtonia","Orchidaceae"
"Broussaisia","Hydrangeaceae"
"Broussonetia","Moraceae"
"Browallia","Solanaceae"
"Bruchia","Bruchiaceae"
"Brugmansia","Solanaceae"
"Bruguiera","Rhizophoraceae"
"Brunellia","Brunelliaceae"
"Brunfelsia","Solanaceae"
"Brunnera","Boraginaceae"
"Brunnichia","Polygonaceae"
"Brya","Fabaceae"
"Bryhnia","Brachytheciaceae"
"Bryoandersonia","Brachytheciaceae"
"Bryobrittonia","Encalyptaceae"
"Bryocaulon","Parmeliaceae"
"Bryocrumia","Hypnaceae"
"Bryoerythrophyllum","Pottiaceae"
"Bryohaplocladium","Leskeaceae"
"Bryonia","Cucurbitaceae"
"Bryonora","Lecanoraceae"
"Bryoria","Parmeliaceae"
"Bryoxiphium","Bryoxiphiaceae"
"Bryum","Bryaceae"
"Bucegia","Marchantiaceae"
"Buchanania","Anacardiaceae"
"Buchenavia","Combretaceae"
"Buchnera","Scrophulariaceae"
"Bucida","Combretaceae"
"Buckleya","Santalaceae"
"Buddleja","Buddlejaceae"
"Buellia","Physciaceae"
"Buelliella","Physciaceae"
"Buglossoides","Boraginaceae"
"Bulbine","Liliaceae"
"Bulbophyllum","Orchidaceae"
"Bulbostylis","Cyperaceae"
"Bulbothrix","Parmeliaceae"
"Bullatina","Gomphillaceae"
"Bulnesia","Zygophyllaceae"
"Bunchosia","Malpighiaceae"
"Bunias","Brassicaceae"
"Bunium","Apiaceae"
"Bunodophoron","Sphaerophoraceae"
"Buphthalmum","Asteraceae"
"Bupleurum","Apiaceae"
"Burmannia","Burmanniaceae"
"Bursera","Burseraceae"
"Butea","Fabaceae"
"Butia","Arecaceae"
"Butomus","Butomaceae"
"Buttonia","Scrophulariaceae"
"Buxbaumia","Buxbaumiaceae"
"Buxus","Buxaceae"
"Byrsonima","Malpighiaceae"
"Byssoloma","Pilocarpaceae"
"Cabomba","Cabombaceae"
"Cacaliopsis","Asteraceae"
"Cadaba","Capparaceae"
"Caelogyne","Orchidaceae"
"Caesalpinia","Fabaceae"
"Cajanus","Fabaceae"
"Cakile","Brassicaceae"
"Caladium","Araceae"
"Calamagrostis","Poaceae"
"Calamintha","Lamiaceae"
"Calamovilfa","Poaceae"
"Calamus","Arecaceae"
"Calandrinia","Portulacaceae"
"Calanthe","Orchidaceae"
"Calathea","Marantaceae"
"Calceolaria","Scrophulariaceae"
"Calendula","Asteraceae"
"Calepina","Brassicaceae"
"Calibrachoa","Solanaceae"
"Calicium","Caliciaceae"
"Calla","Araceae"
"Callaeum","Malpighiaceae"
"Calliandra","Fabaceae"
"Callicarpa","Verbenaceae"
"Callicladium","Hypnaceae"
"Callicostella","Callicostaceae"
"Calliergon","Amblystegiaceae"
"Calliergonella","Amblystegiaceae"
"Calligonum","Polygonaceae"
"Callirhoe","Malvaceae"
"Calliscirpus","Cyperaceae"
"Callisia","Commelinaceae"
"Callistemon","Myrtaceae"
"Callistephus","Asteraceae"
"Callitriche","Callitrichaceae"
"Callitris","Cupressaceae"
"Callitropsis","Cupressaceae"
"Calluna","Ericaceae"
"Calocedrus","Cupressaceae"
"Calochortus","Liliaceae"
"Calodendrum","Rutaceae"
"Caloncoba","Flacourtiaceae"
"Calopadia","Ectolechiaceae"
"Calophaca","Fabaceae"
"Calophyllum","Clusiaceae"
"Caloplaca","Teloschistaceae"
"Calopogon","Orchidaceae"
"Calopogonium","Fabaceae"
"Calothamnus","Myrtaceae"
"Calotis","Asteraceae"
"Calotropis","Asclepiadaceae"
"Caltha","Ranunculaceae"
"Calycadenia","Asteraceae"
"Calycanthus","Calycanthaceae"
"Calycera","Calyceraceae"
"Calycocarpum","Menispermaceae"
"Calycophyllum","Rubiaceae"
"Calycoseris","Asteraceae"
"Calycularia","Allisoniaceae"
"Calydorea","Iridaceae"
"Calylophus","Onagraceae"
"Calymperes","Calymperaceae"
"Calypogeia","Calypogeiaceae"
"Calypso","Orchidaceae"
"Calyptocarpus","Asteraceae"
"Calyptochloa","Poaceae"
"Calyptranthes","Myrtaceae"
"Calyptronoma","Arecaceae"
"Calystegia","Convolvulaceae"
"Calytrix","Myrtaceae"
"Camassia","Liliaceae"
"Camelina","Brassicaceae"
"Camellia","Theaceae"
"Camissonia","Onagraceae"
"Campanula","Campanulaceae"
"Campanulastrum","Campanulaceae"
"Camphorosma","Chenopodiaceae"
"Campnospera","Anacardiaceae"
"Campsis","Bignoniaceae"
"Camptotheca","Cornaceae"
"Campylium","Amblystegiaceae"
"Campylocentrum","Orchidaceae"
"Campyloneurum","Polypodiaceae"
"Campylopodiella","Dicranaceae"
"Campylopus","Dicranaceae"
"Campylostelium","Ptychomitriaceae"
"Canadanthus","Asteraceae"
"Cananga","Annonaceae"
"Canarina","Campanulaceae"
"Canarium","Burseraceae"
"Canavalia","Fabaceae"
"Canbya","Papaveraceae"
"Candelaria","Candelariaceae"
"Candelariella","Candelariaceae"
"Candelina","Candelariaceae"
"Canella","Canellaceae"
"Canna","Cannaceae"
"Cannabis","Cannabaceae"
"Canoparmelia","Parmeliaceae"
"Canotia","Celastraceae"
"Cantua","Polemoniaceae"
"Caperonia","Euphorbiaceae"
"Capparis","Capparaceae"
"Capraria","Scrophulariaceae"
"Capsella","Brassicaceae"
"Capsicum","Solanaceae"
"Caragana","Fabaceae"
"Caralluma","Asclepiadaceae"
"Carapa","Meliaceae"
"Carbonea","Lecanoraceae"
"Cardamine","Brassicaceae"
"Cardaminopsis","Brassicaceae"
"Cardaria","Brassicaceae"
"Cardionema","Caryophyllaceae"
"Cardiospermum","Sapindaceae"
"Carduus","Asteraceae"
"Carex","Cyperaceae"
"Carica","Caricaceae"
"Carissa","Apocynaceae"
"Carlina","Asteraceae"
"Carlowrightia","Acanthaceae"
"Carlquistia","Asteraceae"
"Carludovica","Cyclanthaceae"
"Carmichaelia","Fabaceae"
"Carminatia","Asteraceae"
"Carmona","Boraginaceae"
"Carnegiea","Cactaceae"
"Carpenteria","Hydrangeaceae"
"Carphephorus","Asteraceae"
"Carphochaete","Asteraceae"
"Carpinus","Betulaceae"
"Carpobrotus","Aizoaceae"
"Carthamus","Asteraceae"
"Carum","Apiaceae"
"Carya","Juglandaceae"
